"编号","类别","中文文案","中文来源","源码原文","出现位置","审核意见"
"NT0001","操作结果","{变量1} 设置已保存","现有中文/翻译","{变量1} 设置已保存","src/components/content/SkillsHub.vue:324",""
"NT0002","操作结果","安装技能失败。","中文审核译文；当前源码为英文","Failed to install skill","src/components/content/SkillsHub.vue:282；src/server/skillsRoutes.ts:623",""
"NT0003","操作结果","保存失败","现有中文/翻译","保存失败","src/App.vue:2347；src/App.vue:2349；src/components/settings/AccountActivation.vue:154；src/components/settings/WebUiBrandingSettings.vue:46；src/components/settings/WebUiBrandingSettings.vue:48；src/server/codexAppServerBridge.ts:7367；src/server/codexAppServerBridge.ts:9700",""
"NT0004","操作结果","保存失败。","现有中文/翻译","保存失败。","src/components/accounts/AccountOptions.vue:89",""
"NT0005","操作结果","保存通知设置失败。","现有中文/翻译","保存通知设置失败。","src/components/settings/NotificationSettings.vue:58",""
"NT0006","操作结果","保存自定义端点失败。","中文审核译文；当前源码为英文","Failed to save custom endpoint","src/App.vue:4576",""
"NT0007","操作结果","保存自动化失败","现有中文/翻译","Failed to save automation","src/components/content/AutomationsPanel.vue:327；src/components/sidebar/SidebarThreadTree.vue:2179",""
"NT0008","操作结果","保存OpenCode Zen 配置失败。","中文审核译文；当前源码为英文","Failed to save OpenCode Zen config","src/App.vue:4618",""
"NT0009","操作结果","保存OpenRouter API 格式失败。","中文审核译文；当前源码为英文","Failed to save OpenRouter API format","src/App.vue:4598",""
"NT0010","操作结果","操作失败","现有中文/翻译","操作失败","src/components/content/ThreadCommandDialog.vue:127",""
"NT0011","操作结果","测试发送结果未确认","现有中文/翻译","测试发送结果未确认","src/components/settings/NotificationSettings.vue:70；src/server/accountNotificationService.ts:110",""
"NT0012","操作结果","测试通知发送失败。","现有中文/翻译","测试通知发送失败。","src/App.vue:2363；src/App.vue:2366；src/components/settings/NotificationSettings.vue:72；src/server/codexAppServerBridge.ts:9722",""
"NT0013","操作结果","测试通知已发送","现有中文/翻译","测试通知已发送","src/components/settings/NotificationSettings.vue:69；src/server/accountNotificationService.ts:114",""
"NT0014","操作结果","插件操作失败","现有中文/翻译","插件操作失败","src/components/content/DirectoryHub.vue:342",""
"NT0015","操作结果","插件设置已保存","现有中文/翻译","插件设置已保存","src/components/content/DirectoryHub.vue:341",""
"NT0016","操作结果","创建或克隆项目失败。","现有中文/翻译","Failed to create or clone project.","src/App.vue:3972",""
"NT0017","操作结果","登录失败。","现有中文/翻译","登录失败。","src/components/accounts/AccountLoginDialog.vue:128",""
"NT0018","操作结果","分支已创建","现有中文/翻译","分支已创建","src/App.vue:2797；src/App.vue:3154",""
"NT0019","操作结果","复制失败，请手动选中设备码。","现有中文/翻译","复制失败，请手动选中设备码。","src/components/accounts/AccountLoginDialog.vue:133",""
"NT0020","操作结果","更新技能失败。","中文审核译文；当前源码为英文","Failed to update skill","src/components/content/SkillsHub.vue:326",""
"NT0021","操作结果","工作树名称必须为单个文件夹名。","中文审核译文；当前源码为英文","Worktree name must be a single folder name.","src/App.vue:2988",""
"NT0022","操作结果","结果未确认，请刷新账号核对。","现有中文/翻译","结果未确认，请刷新账号核对。","src/components/accounts/AccountResetCredits.vue:60",""
"NT0023","操作结果","连接 Telegram 机器人失败","现有中文/翻译","Failed to connect Telegram bot","src/App.vue:2329；src/api/codexGateway.ts:3263",""
"NT0024","操作结果","连接配置无效","现有中文/翻译","连接配置无效","src/components/accounts/CustomConnections.vue:71；src/components/accounts/CustomConnections.vue:112；src/composables/useCustomConnections.ts:8；src/server/codexAppServerBridge.ts:7410；src/server/customConnectionStore.ts:66",""
"NT0025","操作结果","连接失败","现有中文/翻译","连接失败","src/components/content/DirectoryHub.vue:289；src/directory.ts:114",""
"NT0026","操作结果","连接已保存","现有中文/翻译","连接已保存","src/components/accounts/CustomConnections.vue:91",""
"NT0027","操作结果","连接已移除","现有中文/翻译","连接已移除","src/components/accounts/CustomConnections.vue:107",""
"NT0028","操作结果","目标已保存","现有中文/翻译","目标已保存","src/components/content/ThreadCommandDialog.vue:148",""
"NT0029","操作结果","目标已继续","现有中文/翻译","目标已继续","src/components/content/ThreadCommandDialog.vue:162",""
"NT0030","操作结果","目标已清除","现有中文/翻译","目标已清除","src/components/content/ThreadCommandDialog.vue:173",""
